State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Alabama,4785437,4799069,4815588,4830081,4841799,4852347,4863525.0,4874486,4887681,4887681
Alaska,713910,722128,730443,737068,736283,737498,741456.0,739700,735139,735139
Arizona,6407172,6472643,6554978,6632764,6730413,6829676,6941072.0,7044008,7158024,7158024
Arkansas,2921964,2940667,2952164,2959400,2967392,2978048,2989918.0,3001345,3009733,3009733
California,37319502,37638369,37948800,38260787,38596972,38918045,39167116.0,39358497,39461588,39461588
Colorado,5047349,5121108,5192647,5269035,5350101,5450623,5539215.0,5611885,5691287,5691287
Connecticut,3579114,3588283,3594547,3594841,3594524,3587122,3578141.0,3573297,3571520,3571520
Delaware,899593,907381,915179,923576,932487,941252,948921.0,956823,965479,965479
District_of_Columbia,605226,619800,634924,650581,662328,675400,685815.0,694906,701547,701547
Florida,18845537,19053237,19297822,19545621,19845911,20209042,20613476.0,20963613,21244317,21244317
Georgia,9711881,9802431,9901430,9972479,10067278,10178447,10301890.0,10410330,10511131,10511131
Hawaii,1363963,1379329,1394804,1408243,1414538,1422052,1427559.0,1424393,1420593,1420593
Idaho,1570746,1583910,1595324,1611206,1631112,1651059,1682380.0,1717715,1750536,1750536
Illinois,12840503,12867454,12882510,12895129,12884493,12858913,12820527.0,12778828,12723071,12723071
Indiana,6490432,6516528,6537703,6568713,6593644,6608422,6634304.0,6658078,6695497,6695497
Iowa,3050745,3066336,3076190,3092997,3109350,3120960,3131371.0,3141550,3148618,3148618
Kansas,2858190,2869225,2885257,2893212,2900475,2909011,2910844.0,2908718,2911359,2911359
Kentucky,4348181,4369821,4386346,4404659,4414349,4425976,4438182.0,4452268,4461153,4461153
Louisiana,4544532,4575625,4600972,4624527,4644013,4664628,4678135.0,4670560,4659690,4659690
Maine,1327629,1328284,1327729,1328009,1330513,1328262,1331317.0,1334612,1339057,1339057
Maryland,5788645,5839419,5886992,5923188,5957283,5985562,6003323.0,6023868,6035802,6035802
Massachusetts,6566307,6613583,6663005,6713315,6762596,6794228,6823608.0,6859789,6882635,6882635
Michigan,9877510,9882412,9897145,9913065,9929848,9931715,9950571.0,9973114,9984072,9984072
Minnesota,5310828,5346143,5376643,5413479,5451079,5482032,5522744.0,5566230,5606249,5606249
Mississippi,2970548,2978731,2983816,2988711,2990468,2988471,2987938.0,2988510,2981020,2981020
Missouri,5995974,6010275,6024367,6040715,6056202,6071732,6087135.0,6106670,6121623,6121623
Montana,990697,997316,1003783,1013569,1021869,1030475,1040859.0,1052482,1060665,1060665
Nebraska,1829542,1840672,1853303,1865279,1879321,1891277,1905616.0,1915947,1925614,1925614
Nevada,2702405,2712730,2743996,2775970,2817628,2866939,2917563.0,2969905,3027341,3027341
New_Hampshire,1316762,1320202,1324232,1326622,1333341,1336350,1342307.0,1348787,1353465,1353465
New_Jersey,8799446,8828117,8844942,8856972,8864525,8867949,8870827.0,8885525,8886025,8886025
New_Mexico,2064552,2080450,2087309,2092273,2089568,2089291,2091630.0,2091784,2092741,2092741
New_York,19399878,19499241,19572932,19624447,19651049,19654666,19633428.0,19589572,19530351,19530351
North_Carolina,9574323,9657592,9749476,9843336,9932887,10031646,10154788.0,10268233,10381615,10381615
North_Dakota,674715,685225,701176,722036,737401,754066,754434.0,754942,758080,758080
Ohio,11539336,11544663,11548923,11576684,11602700,11617527,11634370.0,11659650,11676341,11676341
Oklahoma,3759944,3788379,3818814,3853214,3878187,3909500,3926331.0,3931316,3940235,3940235
Oregon,3837491,3872036,3899001,3922468,3963244,4015792,4089976.0,4143625,4181886,4181886
Pennsylvania,12711160,12745815,12767118,12776309,12788313,12784826,12782275.0,12787641,12800922,12800922
Rhode_Island,1053959,1053649,1054621,1055081,1055936,1056065,1056770.0,1055673,1058287,1058287
South_Carolina,4635649,4671994,4717354,4764080,4823617,4891938,4957968.0,5021268,5084156,5084156
South_Dakota,816166,823579,833566,842316,849129,853988,862996.0,872868,878698,878698
Tennessee,6355311,6399291,6453898,6494340,6541223,6591170,6646010.0,6708799,6771631,6771631
Texas,25241971,25645629,26084481,26480266,26964333,27470056,27914410.0,28295273,28628666,28628666
Utah,2775332,2814384,2853375,2897640,2936879,2981835,3041868.0,3101042,3153550,3153550
Vermont,625879,627049,626090,626210,625214,625216,623657.0,624344,624358,624358
Virginia,8023699,8101155,8185080,8252427,8310993,8361808,8410106.0,8463587,8501286,8501286
Washington,6742830,6826627,6897058,6963985,7054655,7163657,7294771.0,7423362,7523869,7523869
West_Virginia,1854239,1856301,1856872,1853914,1849489,1842050,1831023.0,1817004,1804291,1804291
Wisconsin,5690475,5705288,5719960,5736754,5751525,5760940,5772628.0,5790186,5807406,5807406
Wyoming,564487,567299,576305,582122,582531,585613,584215.0,578931,577601,577601
